epoch,lr,seconds,loss,focal,contrastive,l2,val_top1,val_top3,val_dba
1,9.940113328318488e-05,453.7,10.3599210920788,0.9990386774529626,1.8476687548480508,3.0332682327906055e-06,0.19777777791023254,0.4377777874469757,0.5706172784169515
2,9.758422392280546e-05,441.6,6.292224339764528,0.6064635221920316,1.1379431201438024,2.552938154427862e-06,0.2392592579126358,0.5192592740058899,0.7030123273531595
3,9.459394639990485e-05,442.4,5.682294855214129,0.549495138733246,0.9367131075645766,4.293326464365572e-06,0.2822222113609314,0.5844444632530212,0.7366419633229574
4,9.050403726313759e-05,442.8,5.465406859591925,0.5301186781252961,0.8210972910921639,3.270894231045295e-06,0.3096296191215515,0.5992592573165894,0.7255308429400126
5,8.541534861795093e-05,442.3,5.254234422680963,0.5105959105629253,0.7413721589471011,4.279559217987864e-06,0.3614814877510071,0.6711111068725586,0.795604924360911
6,7.94533612382865e-05,442.1,5.093489991638052,0.496030768446764,0.6659080996399834,3.4465769513032536e-06,0.32370370626449585,0.6459259390830994,0.7932839592297872
7,7.276509036575043e-05,442.0,4.971831929288041,0.48502028981844586,0.6081426055056364,2.534718367152043e-06,0.36592593789100647,0.6851851940155029,0.79837038119634
8,6.551546049542082e-05,442.8,4.831594158216644,0.47190055479046933,0.5629407677471552,2.0069263381422798e-06,0.36222222447395325,0.6888889074325562,0.8101728161176046
9,5.788323854159488e-05,441.6,4.717273571446516,0.46113478883692366,0.5296269186475404,1.340971548474895e-06,0.35407406091690063,0.6948148012161255,0.8149629632631937
10,5.005662566658309e-05,442.3,4.614356853573181,0.4512273572052024,0.5104154879912669,1.1035777461376611e-06,0.36666667461395264,0.6962962746620178,0.814370354016622
11,4.222861647260519e-05,443.1,4.511572357552048,0.4416074829356151,0.4774874573490148,6.057769598485537e-07,0.3333333432674408,0.6859259009361267,0.8133827249209086
12,3.459223999338126e-05,442.5,4.441548127976675,0.4349150778927328,0.46198662005977714,4.4133832447519196e-07,0.3525925874710083,0.7007407546043396,0.820888896783193
13,2.733579983668434e-05,441.8,4.346098057635419,0.42586247848741937,0.4373662334478435,4.5924210138610914e-07,0.385185182094574,0.7229629755020142,0.8337777654329935
14,2.0638230850058106e-05,441.7,4.26570925224051,0.4183155343818114,0.4127694215695407,4.1508693696921e-07,0.3674074113368988,0.7051851749420166,0.8206419547398885
15,1.4664686808584487e-05,442.8,4.169323504229129,0.4088642561074459,0.4034048740739946,1.876735258435407e-07,0.3562963008880615,0.7222222089767456,0.8329382538795471
16,9.562467926869367e-06,441.8,4.099512208591808,0.40207824893672056,0.39364861613099195,2.341317936128503e-07,0.3785185217857361,0.7251851558685303,0.8317530949910482
17,5.457388617767967e-06,442.2,4.071159711991898,0.39939641694485883,0.38597767378645714,1.8097141185261e-07,0.3592592477798462,0.7177777886390686,0.8300740718841553
18,2.4506750644316178e-06,442.3,4.018250763330281,0.3940120631826216,0.39065066781996993,1.2074896249275256e-07,0.36000001430511475,0.7133333086967468,0.8289382656415304
19,6.164691077155782e-07,442.5,3.9911454807628286,0.39149358580466814,0.38104816522949186,1.1385324959867936e-07,0.3629629611968994,0.7185184955596924,0.8279012242952982
20,0.0,442.4,3.970065047386577,0.38920357019182233,0.39014676221865424,1.207631791712524e-07,0.36592593789100647,0.7192592620849609,0.8300246795018514
